parent_ticker,parent_cik10,parent_name,incorp_country_iso3,incorp_state_or_region,legal_form,latest_20f_year,latest_20f_accession,sources_used,lineage
ANTE,PENDING,AIRNET TECHNOLOGY INC.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ATAT,0001853717,Atour Lifestyle Holdings Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ATHM,0001527636,Autohome Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ATXG,0001650101,ADDENTAX GROUP CORP.,,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\ATXG\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
AZI,0001959726,AUTOZI INTERNET TECHNOLOGY (GLOBAL) LTD.,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BABA,0001577552,Alibaba Group Holding Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BAOS,0001811216,Baosheng Media Group Holdings Ltd,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BEDU,0001696355,Bright Scholar Education Holdings Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BEKE,0001809587,KE Holdings Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BGM,0001779578,BGM Group Ltd,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BHAT,0001759136,Blue Hat Interactive Entertainment Technology,,Cayman Islands,,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BIDU,0001329099,"Baidu, Inc.",,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BILI,0001723690,Bilibili Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BNR,0001792267,Burning Rock Biotech Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BON,0001816815,BON NATURAL LIFE LIMITED,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BQ,0001815021,BOQII HOLDING LIMITED,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BTCM,0001517496,BIT Mining Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BTCT,0001796514,BTC Digital Ltd.,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BZ,0001842827,KANZHUN LIMITED,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
BZUN,0001625414,Baozun Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CAAS,0002037400,"China Automotive Systems, Inc.",,Cayman Islands,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CAAS\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CAN,0001780652,Canaan Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CANG,0001725123,Cango Inc.,,Hong Kong,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CASI,0001962738,"CASI PHARMACEUTICALS, INC.",,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CBAT,0001117171,"CBAK Energy Technology, Inc.",,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CBAT\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CCG,0001965473,Cheche Group Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CCM,0001472072,Concord Medical Services Holdings Ltd,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CDTG,0001793895,CDT Environmental Technology Investment Holdings Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CHNR,0000793628,"CHINA NATURAL RESOURCES, INC.",,"Virgin Islands, British",Corporation,,,DEI|CIK|submissions,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv"", ""submissions_path"": ""data\\raw\\EDGAR\\CHNR\\submissions.json""}"
CHR,0001738758,"CHEER HOLDING, INC.",,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CHSN,0001825349,Chanson International Holding,,Cayman Islands,,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CLPS,0001724542,CLPS Incorporation,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CMCM,0001597835,Cheetah Mobile Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CNET,0001376321,ZW Data Action Technologies Inc.,,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CNET\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CNEY,0001780785,CN ENERGY GROUP. INC.,,British Virgin Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CNF,0001733868,CNFinance Holdings Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
COE,0001659494,51Talk Online Education Group,,Cayman Islands,,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CPHI,0001106644,"CHINA PHARMA HOLDINGS, INC.",,DE,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CPHI\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CPOP,0001807389,"Pop Culture Group Co., Ltd",,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CREG,0000721693,Smart Powerr Corp.,,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CREG\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
CSIQ,0001375877,CANADIAN SOLAR INC.,,Ontario,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
DDC,0001808110,DDC Enterprise Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
DDL,0001854545,Dingdong (Cayman) Limited,,Hong Kong,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
DOGZ,0001707303,Dogness (International) Corporation,,British Virgin Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
DQ,0001477641,DAQO NEW ENERGY CORP.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
DSWL,0000946936,"DESWELL INDUSTRIES, INC.",,British Virgin Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
DTSS,0001631282,DATASEA INC.,,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\DTSS\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
DUO,0001750593,Fangdd Network Group Ltd.,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
DXST,0001958133,Decent Holding Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EBON,0001799290,EBANG INTERNATIONAL HOLDINGS INC.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EDTK,0001782309,Skillful Craftsman Education Technology Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EDU,0001372920,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EH,0001759783,EHang Holdings Limited,,Hong Kong,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EHGO,0001879754,Eshallgo Inc,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EJH,0001769768,E-Home Household Service Holdings Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EM,0001834253,Smart Share Global Ltd,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ENFY,0000857949,Enlightify Inc.,,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\ENFY\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EPOW,0001780731,"Sunrise New Energy Co., Ltd.",,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EPWK,0001900720,EPWK Holdings Ltd.,,VA,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\EPWK\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
EZGO,0001806904,EZGO Technologies Ltd.,,British Virgin Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
FEBO,0001957001,FENBO HOLDINGS LIMITED,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
FEDU,0001709819,Four Seasons Education (Cayman) Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
FENG,0001509646,Phoenix New Media Limited,,Hong Kong,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
FINV,0001691445,FinVolution Group,,Cayman Islands,,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
FLX,0001858724,BingEx Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
FNGR,0001602409,"FingerMotion, Inc.",,DE,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\FNGR\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
FTFT,0001066923,Future FinTech Group Inc.,,FL,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\FTFT\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
FVNNU,0002010653,Future Vision II Acquisition Corp.,,Cayman Islands,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\FVNNU\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GCT,0001857816,GIGACLOUD TECHNOLOGY INC,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GDC,0001641398,GD Culture Group Ltd,,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\GDC\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GDHG,0001928340,Golden Heaven Group Holdings Ltd.,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GDS,0001526125,GDS Holdings Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GHG,0001724755,GreenTree Hospitality Group Ltd.,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GMM,0001913749,GLOBAL MOFY AI LIMITED,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GOTU,0001768259,Gaotu Techedu Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GRNQ,0001597846,Greenpro Capital Corp.,,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\GRNQ\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GTEC,0001735041,Greenland Technologies Holding Corp.,,"Virgin Islands, British",,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\GTEC\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
GURE,0000885462,"GULF RESOURCES, INC.",,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\GURE\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HAO,0001954594,Haoxi Health Technology Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HCAI,0001958399,"Huachen AI Parking Management Technology Holding Co., Ltd",,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HCM,0001648257,HutchMED (China) LIMITED,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HIHO,0001026785,HIGHWAY HOLDINGS LIMITED,,British Virgin Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HKIT,0001742341,HITEK GLOBAL INC.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HSAI,0001861737,Hesai Group,,Cayman Islands,,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HTHT,0001483994,H World Group Ltd,,Cayman Islands,Limited,,,DEI|CIK|submissions,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv"", ""submissions_path"": ""data\\raw\\EDGAR\\HTHT\\submissions.json""}"
HUDI,0001791725,"Huadi International Group Co., Ltd.",,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HUHU,0001945415,HUHUTECH International Group Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HUIZ,0001778982,Huize Holding Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
HUYA,0001728190,HUYA Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ICG,0001895597,Intchains Group Limited,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
IFBD,0001815566,"Infobird Co., Ltd",,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
IH,0001814423,iHuman Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ILAG,0001814963,INTELLIGENT LIVING APPLICATION GROUP INC.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
INLF,0001991592,INLIF LIMITED,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
IQ,0001722608,"iQIYI, Inc.",,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ITP,0001358190,"IT TECH PACKAGING, INC.",,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\ITP\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
IZM,0001854572,ICZOOM GROUP INC.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
JD,0001549802,"JD.com, Inc.",,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
JDZG,0001976908,JIADE LIMITED,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
JFIN,0001743102,Jiayin Group Inc.,,People's Republic of China,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
