parent_ticker,parent_cik10,parent_name,incorp_country_iso3,incorp_state_or_region,legal_form,latest_20f_year,latest_20f_accession,sources_used,lineage
BAOS,0001811216,Baosheng Media Group Holdings Ltd,CYM,Cayman Islands,Limited,2025.0,000141057825000994.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BAOS""}"
BEDU,0001696355,Bright Scholar Education Holdings Limited,CYM,Cayman Islands,Limited,2024.0,000121390024108859.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BEDU""}"
BEKE,0001809587,KE Holdings Inc.,CYM,Cayman Islands,Corporation,2025.0,000141057825000783.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BEKE""}"
BGM,0001779578,BGM Group Ltd,CYM,Cayman Islands,Limited,2025.0,000141057825000056.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BGM""}"
BHAT,0001759136,Blue Hat Interactive Entertainment Technology,CYM,Cayman Islands,,2025.0,000173112225000634.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BHAT""}"
BIDU,0001329099,"Baidu, Inc.",CYM,Cayman Islands,Corporation,2025.0,000119312525066199.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BIDU""}"
BILI,0001723690,Bilibili Inc.,CYM,Cayman Islands,Corporation,2025.0,000119312525061847.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BILI""}"
BNR,0001792267,Burning Rock Biotech Limited,CYM,Cayman Islands,Limited,2025.0,000119312525101753.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BNR""}"
BON,0001816815,BON NATURAL LIFE LIMITED,CYM,Cayman Islands,Limited,2025.0,000149315225003851.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BON""}"
BQ,0001815021,BOQII HOLDING LIMITED,CYM,Cayman Islands,Limited,2025.0,000121390025065802.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BQ""}"
BTCM,0001517496,BIT Mining Limited,CYM,Cayman Islands,Limited,2025.0,000141057825000990.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BTCM""}"
BTCT,0001796514,BTC Digital Ltd.,CYM,Cayman Islands,Limited,2025.0,000121390025037719.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BTCT""}"
BZ,0001842827,KANZHUN LIMITED,CYM,Cayman Islands,Limited,2025.0,000141057825000682.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BZ""}"
BZUN,0001625414,Baozun Inc.,CYM,Cayman Islands,Corporation,2025.0,000141057825000824.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\BZUN""}"
CAAS,0002037400,"China Automotive Systems, Inc.",CYM,Cayman Islands,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CAAS\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
CAN,0001780652,Canaan Inc.,CYM,Cayman Islands,Corporation,2025.0,000141057825000805.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CAN""}"
CANG,0001725123,Cango Inc.,HKG,Hong Kong,Corporation,2025.0,000141057825000492.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CANG""}"
CASI,0001962738,"CASI PHARMACEUTICALS, INC.",CYM,Cayman Islands,Corporation,2025.0,000155837025004086.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CASI""}"
CBAT,0001117171,"CBAK Energy Technology, Inc.",USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CBAT\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
CCG,0001965473,Cheche Group Inc.,CYM,Cayman Islands,Corporation,2025.0,000164117225005406.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CCG""}"
CCM,0001472072,Concord Medical Services Holdings Ltd,CYM,Cayman Islands,Limited,2025.0,000141057825000907.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CCM""}"
CDTG,0001793895,CDT Environmental Technology Investment Holdings Limited,CYM,Cayman Islands,Limited,2025.0,000173112225000746.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CDTG""}"
CHNR,0000793628,"CHINA NATURAL RESOURCES, INC.",VGB,"Virgin Islands, British",Corporation,2025.0,000107997325000827.html,DEI|CIK|submissions|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""submissions_path"": ""data\\raw\\EDGAR\\CHNR\\submissions.json"", ""companies_path"": ""companies\\CHNR""}"
CHR,0001738758,"CHEER HOLDING, INC.",CYM,Cayman Islands,Corporation,2025.0,000121390025021907.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CHR""}"
CHSN,0001825349,Chanson International Holding,CYM,Cayman Islands,,2025.0,000121390025028989.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CHSN""}"
CLPS,0001724542,CLPS Incorporation,CYM,Cayman Islands,Corporation,2024.0,000121390024088712.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CLPS""}"
CMCM,0001597835,Cheetah Mobile Inc.,CYM,Cayman Islands,Corporation,2025.0,000095017025053935.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CMCM""}"
CNET,0001376321,ZW Data Action Technologies Inc.,USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CNET\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
CNEY,0001780785,CN ENERGY GROUP. INC.,VGB,British Virgin Islands,Corporation,2025.0,000147793225001105.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CNEY""}"
CNF,0001733868,CNFinance Holdings Limited,CYM,Cayman Islands,Limited,2025.0,000121390025037031.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CNF""}"
COE,0001659494,51Talk Online Education Group,CYM,Cayman Islands,,2025.0,000141057825000918.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\COE""}"
CPHI,0001106644,"CHINA PHARMA HOLDINGS, INC.",USA,DE,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CPHI\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
CPOP,0001807389,"Pop Culture Group Co., Ltd",CYM,Cayman Islands,Limited,2024.0,000121390024099099.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CPOP""}"
CREG,0000721693,Smart Powerr Corp.,USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\CREG\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
CSIQ,0001375877,CANADIAN SOLAR INC.,CAN,Ontario,Corporation,2025.0,000141057825001046.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\CSIQ""}"
DDC,0001808110,DDC Enterprise Limited,CYM,Cayman Islands,Limited,2025.0,000121390025043916.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\DDC""}"
DDL,0001854545,Dingdong (Cayman) Limited,HKG,Hong Kong,Limited,2025.0,000095017025055994.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\DDL""}"
DOGZ,0001707303,Dogness (International) Corporation,VGB,British Virgin Islands,Corporation,2024.0,000149315224041355.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\DOGZ""}"
DQ,0001477641,DAQO NEW ENERGY CORP.,CYM,Cayman Islands,Corporation,2025.0,000141057825000968.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\DQ""}"
DSWL,0000946936,"DESWELL INDUSTRIES, INC.",VGB,British Virgin Islands,Corporation,2025.0,000117494725001096.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\DSWL""}"
DTSS,0001631282,DATASEA INC.,USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\DTSS\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
DUO,0001750593,Fangdd Network Group Ltd.,CYM,Cayman Islands,Limited,2025.0,000121390025034322.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\DUO""}"
DXST,0001958133,Decent Holding Inc.,CYM,Cayman Islands,Corporation,2025.0,000121390025021825.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\DXST""}"
EBON,0001799290,EBANG INTERNATIONAL HOLDINGS INC.,CYM,Cayman Islands,Corporation,2025.0,000121390025036063.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\EBON""}"
EDTK,0001782309,Skillful Craftsman Education Technology Limited,CYM,Cayman Islands,Limited,2025.0,000164117225022783.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\EDTK""}"
EDU,0001372920,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,CYM,Cayman Islands,Corporation,2025.0,000119312525216394.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\EDU""}"
EH,0001759783,EHang Holdings Limited,HKG,Hong Kong,Limited,2025.0,000119312525080649.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\EH""}"
EHGO,0001879754,Eshallgo Inc,CYM,Cayman Islands,Corporation,2025.0,000141057825001818.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\EHGO""}"
EJH,0001769768,E-Home Household Service Holdings Limited,CYM,Cayman Islands,Limited,2024.0,000121390024091756.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\EJH""}"
EM,0001834253,Smart Share Global Ltd,CYM,Cayman Islands,Limited,2025.0,000141057825000928.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\EM""}"
ENFY,0000857949,Enlightify Inc.,USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\ENFY\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
EPOW,0001780731,"Sunrise New Energy Co., Ltd.",CYM,Cayman Islands,Limited,2025.0,000121390025044226.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\EPOW""}"
EPWK,0001900720,EPWK Holdings Ltd.,USA,VA,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\EPWK\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
EZGO,0001806904,EZGO Technologies Ltd.,VGB,British Virgin Islands,Limited,2025.0,000121390025004698.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\EZGO""}"
FEBO,0001957001,FENBO HOLDINGS LIMITED,CYM,Cayman Islands,Limited,2025.0,000164117225010075.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\FEBO""}"
FEDU,0001709819,Four Seasons Education (Cayman) Inc.,CYM,Cayman Islands,Corporation,2025.0,000095017025090163.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\FEDU""}"
FENG,0001509646,Phoenix New Media Limited,HKG,Hong Kong,Limited,2025.0,000095017025055759.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\FENG""}"
FINV,0001691445,FinVolution Group,CYM,Cayman Islands,,2025.0,000164117225005409.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\FINV""}"
FLX,0001858724,BingEx Limited,CYM,Cayman Islands,Limited,2025.0,000164117225006073.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\FLX""}"
FNGR,0001602409,"FingerMotion, Inc.",USA,DE,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\FNGR\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
FTFT,0001066923,Future FinTech Group Inc.,USA,FL,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\FTFT\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
FVNNU,0002010653,Future Vision II Acquisition Corp.,CYM,Cayman Islands,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\FVNNU\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
GCT,0001857816,GIGACLOUD TECHNOLOGY INC,CYM,Cayman Islands,Corporation,2023.0,000119312523112830.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\GCT""}"
GDC,0001641398,GD Culture Group Ltd,USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\GDC\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
GDHG,0001928340,Golden Heaven Group Holdings Ltd.,CYM,Cayman Islands,Limited,2025.0,000121390025006978.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\GDHG""}"
GDS,0001526125,GDS Holdings Limited,CYM,Cayman Islands,Limited,2025.0,000141057825000935.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\GDS""}"
GHG,0001724755,GreenTree Hospitality Group Ltd.,CYM,Cayman Islands,Limited,2025.0,000121390025037718.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\GHG""}"
GMM,0001913749,GLOBAL MOFY AI LIMITED,CYM,Cayman Islands,Limited,2025.0,000121390025000430.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\GMM""}"
GOTU,0001768259,Gaotu Techedu Inc.,CYM,Cayman Islands,Corporation,2025.0,000095017025056468.html,DEI|CIK|20-F,"{""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv"", ""companies_path"": ""companies\\GOTU""}"
GRNQ,0001597846,Greenpro Capital Corp.,USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\GRNQ\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
GTEC,0001735041,Greenland Technologies Holding Corp.,VGB,"Virgin Islands, British",,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\GTEC\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
GURE,0000885462,"GULF RESOURCES, INC.",USA,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\GURE\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251120.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251120.csv""}"
