ticker,registrant_name,Country_Address,incorp_state_raw,trading_symbol,filer_category,document_period_end
JD,"JD.com, Inc.",China,Cayman Islands,JD,Large accelerated filer,"December 31 , 2024"
JDZG,JIADE LIMITED,China,Cayman Islands,JDZG,Non-accelerated filer,"December 31 , 2024"
JFIN,Jiayin Group Inc.,China,People's Republic of China,JFIN,Accelerated filer,"December 31 , 2024"
JFU,9F Inc.,China,Cayman Islands,JFU,Non-accelerated filer,"December 31 , 2024"
JG,Aurora Mobile Limited,China,Cayman Islands,JG,Non-accelerated Filer,"December 31 , 2024"
JKS,"JinkoSolar Holding Co., Ltd.",China,Cayman Islands,JKS,Large accelerated filer,"December 31 , 2024"
JWEL,Jowell Global Ltd.,China,Cayman Islands,JWEL,Non-accelerated filer,"December 31 , 2024"
JXG,JX Luxventure group inc.,China,Marshall Islands,JXG,Non-Accelerated Filer,"December 31 , 2024"
JYD,Jayud Global Logistics Limited,China,Cayman Islands,JYD,Non-accelerated filer,"December 31 , 2024"
JZ,Jianzhi Education Technology Group Company Limited,China,Cayman Islands,JZ,Non-accelerated filer,"December 31 , 2024"
JZXN,Jiuzi Holdings Inc.,China,Cayman Islands,JZXN,Non-accelerated filer,"October 31 , 2024"
KC,Kingsoft Cloud Holdings Ltd,China,Cayman Islands,KC,Large accelerated filer,"December 31 , 2024"
KNDI,"Kandi Technologies Group, Inc.",China,British Virgin Islands,KNDI,Accelerated filer,"December 31 , 2024"
KRKR,36Kr Holdings Inc.,China,Cayman Islands,KRKR,Non-accelerated filer,"December 31 , 2024"
KUKE,Kuke Music Holding Limited,China,Cayman Islands,KUKE,Non-accelerated filer,"December 31 , 2024"
KXIN,Kaixin Holdings,China,Cayman Islands,KXIN,Non-accelerated filer,"December 31, 2024"
LBGJ,Li Bang International Corporation Inc.,China,Cayman Islands,LBGJ,Non-accelerated filer,"June 30 , 2024"
LGCL,Lucas GC Limited,China,Cayman Islands,LGCL,Non-accelerated filer,"December 31 , 2024"
LI,Li Auto Inc.,China,Cayman Islands,LI,Large Accelerated filer,"December 31 , 2024"
LICN,Lichen International Limited,China,Cayman Islands,LICN,Non-accelerated filer,"December 31 , 2024"
LOBO,LOBO EV TECHNOLOGIES LTD.,China,British Virgin Islands,LOBO,Non-accelerated filer,"December 31 , 2024"
LSE,"Leishen Energy Holding Co., Ltd.",China,Cayman Islands,LSE,Non-accelerated filer,"September 30 , 2024"
LU,Lufax Holding Ltd,China,Cayman Islands,LU,Large accelerated filer,"December 31 , 2023"
LUD,LUDA TECHNOLOGY GROUP LIMITED,Hong Kong,Cayman Islands,LUD,Non-accelerated filer,"December 31 , 2024"
LX,LexinFintech Holdings Ltd.,China,Cayman Islands,LX,Accelerated filer,"December 31 , 2024"
LXEH,"Lixiang Education Holding Co., Ltd.",China,Cayman Islands,LXEH,Non-accelerated filer,"December 31 , 2024"
LZMH,LZ Technology Holdings Limited,China,Cayman Islands,LZMH,Non-accelerated filer,"December 31 , 2024"
MASK,,,,,,
MATH,Metalpha Technology Holding Limited,China,Cayman Islands,MATH,Non-accelerated filer,"March 31 , 2025"
MFH,Mercurity Fintech Holding Inc.,United States,Cayman Islands,MFH,Accelerated filer,"December 31 , 2024"
MGIH,Millennium Group International Holdings Limited,Hong Kong,Cayman Islands,MGIH,Non-accelerated filer,"June 30 , 2024"
MHUA,"MEIHUA INTERNATIONAL MEDICAL TECHNOLOGIES cO., LTD.",China,Cayman Islands,MHUA,Non-accelerated Filer,"December 31 , 2024"
MNSO,MINISO Group Holding Limited,China,Cayman Islands,MNSO,Large Accelerated Filer,"December 31, 2024"
MOMO,Hello Group Inc.,China,Cayman Islands,MOMO,Large accelerated filer,"December 31 , 2024"
MSC,STUDIO CITY INTERNATIONAL HOLDINGS LIMITED,Singapore,Cayman Islands,MSC,Accelerated filer,"December 31 , 2024"
MTC,"MMTEC, INC.",Hong Kong,British Virgin Islands,MTC,Non-accelerated filer,"December 31 , 2024"
MTEN,Mingteng International Corporation Inc.,China,Cayman Islands,MTEN,Non-accelerated filer,"December 31 , 2024"
NAAS,NaaS Technology Inc.,China,Cayman Islands,NAAS,Non-accelerated filer,"December 31, 2024"
NAMI,Jinxin Technology Holding Company,China,Cayman Islands,NAMI,Non-accelerated filer,"December 31 , 2024"
NCTY,The9 LTD,China,Cayman Islands,NCTY,Non-accelerated filer,"December 31, 2024"
NIO,NIO Inc.,China,Cayman Islands,NIO,Large accelerated filer,"December 31 , 2024"
NISN,"NISUN INTERNATIONAL ENTERPRISE DEVELOPMENT GROUP CO., LTD",China,British Virgin Islands,NISN,Non-accelerated filer,"December 31 , 2024"
NIU,Niu Technologies,China,Cayman Islands,NIU,Accelerated filer,"December 31 , 2024"
NOAH,Noah Holdings Ltd,China,Cayman Islands,NOAH,Accelerated filer,"December 31 , 2024"
NTCL,NETCLASS TECHNOLOGY INC,China,Cayman Islands,NTCL,Non-accelerated filer,"September 30 , 2024"
NTES,"NETEASE, INC.",China,Cayman Islands,NTES,Large accelerated filer,"December 31 , 2024"
NXTT,,,,,,
OCFT,"OneConnect Financial Technology Co., Ltd.",China,Cayman Islands,OCFT,Non-accelerated filer,"December 31 , 2024"
OCG,"Oriental Culture Holding, LTD.",Hong Kong,Cayman Islands,OCG,Non-accelerated filer,"December 31 , 2024"
ONC,,,,,,
ORIS,ORIENTAL RISE HOLDINGS LIMITED,China,Cayman Islands,ORIS,Non-accelerated filer,"December 31 , 2024"
OST,"Ostin Technology Group Co., Ltd.",China,Cayman Islands,OST,Non-accelerated filer,"September 30 , 2024"
PAVS,Paranovus Entertainment Technology Ltd.,,Cayman Islands,PAVS,Non-accelerated filer,"March 31, 2025"
PDD,PDD Holdings Inc.,Ireland,Cayman Islands,PDD,Large accelerated filer,"December 31 , 2024"
PETZ,"TDH Holdings, Inc.",China,British Virgin Islands,PETZ,Non-accelerated filer,"December 31 , 2024"
PHH,"Park Ha Biological Technology Co., Ltd.",China,Cayman Islands,PHH,Non-accelerated filer,"October 31 , 2024"
PLAG,,,,,,
PONY,Pony AI Inc.,China,Cayman Islands,PONY,Non-accelerated Filer,"December 31 , 2024"
PT,Pintec Technology Holdings Limited,China,Cayman Islands,PT,Non-accelerated filer,"December 31, 2024"
PTHL,Pheton Holdings Ltd,China,Cayman Islands,PTHL,Non-accelerated filer,"December 31 , 2024"
QD,Qudian Inc.,China,Cayman Islands,QD,Accelerated filer,"December 31 , 2024"
QFIN,"Qifu Technology, Inc.",China,Cayman Islands,QFIN,Large accelerated filer,"December 31 , 2024"
QH,QUHUO Ltd,China,Cayman Islands,QH,Non-accelerated filer,"December 31 , 2024"
QSG,QuantaSing Group Limited,China,Cayman Islands,QSG,Non-accelerated filer,"June 30 , 2024"
RAYA,Erayak Power Solution Group Inc.,China,Cayman Islands,RAYA,Non-accelerated filer,"December 31 , 2024"
RCON,"RECON TECHNOLOGY, LTD",China,Cayman Islands,RCON,Non-accelerated filer,"June 30 , 2024"
RDGT,"Ridgetech, Inc.",China,Cayman Islands,RDGT,Non-accelerated filer,"March 31 , 2025"
RERE,ATRenew Inc.,China,Cayman Islands,RERE,Accelerated filer,"December 31 , 2024"
RETO,"RETO ECO-SOLUTIONS, INC.",China,British Virgin Islands,RETO,Non-accelerated filer,"December 31 , 2024"
SEED,Origin Agritech Limited,China,British Virgin Islands,SEED,Non-accelerated filer,"September 30, 2024"
SFHG,SAMFINE CREATION HOLDINGS GROUP LIMITED,Hong Kong,C ayman Islands,SFHG,Non-accelerated filer,"December 31 , 2024"
SFWL,Shengfeng Development Limited,China,Cayman Islands,SFWL,Non-accelerated filer,"December 31 , 2024"
SISI,,,,,,
SJ,SCIENJOY HOLDING CORPORATION,China,British Virgin Islands,SJ,Non-accelerated filer,"December 31 , 2024"
SNTG,Sentage Holdings Inc.,China,Cayman Islands,SNTG,Non-accelerated filer,"December 31 , 2024"
SOGP,Sound Group Inc.,Singapore,Cayman Islands,SOGP,Non-accelerated Filer,"December 31 , 2024"
SOHU,SOHU.COM LIMITED,China,Cayman Islands,SOHU,Accelerated filer,"December 31 , 2024"
SOL,EMEREN GROUP LTD,United States of America,,SOL,Non-accelerated filer,"December 31, 2022"
SOS,SOS Limited,China,Cayman Islands,SOS,Non-accelerated filer,"December 31 , 2024"
STEC,Santech Holdings Limited,Hong Kong,Cayman Islands,STEC,Non-accelerated filer,"June 30 , 2024"
STFS,Star Fashion Culture Holdings Limited,China,Cayman Islands,STFS,Non-accelerated filer,"June 30 , 2024"
STG,Sunlands Technology Group,China,Cayman Islands,STG,Non-accelerated Filer,"December 31 , 2024"
SXTC,"China SXT Pharmaceuticals, Inc.",China,British Virgin Islands,,Non-accelerated filer,"March 31 , 2025"
SY,So-Young International Inc.,China,Cayman Islands,SY,Non-accelerated filer,"December 31 , 2024"
TAL,TAL Education Group,China,Cayman Islands,TAL,Large accelerated filer,"February 28, 2025"
TANH,TANTECH HOLDINGS LTD,China,British Virgin Islands,TANH,Non-accelerated filer,"DECEMBER 31, 2024"
TAOP,TAOPING INC.,China,,TAOP,Non-Accelerated Filer,"December 31 , 2024"
TC,Token Cat Limited,China,Cayman Islands,TC,Non-accelerated filer,"December 31 , 2024"
TCOM,Trip.com Group Limited,Singapore,Cayman Islands,TCOM,Large accelerated filer,"December 31 , 2024"
THCH,TH International Limited,China,Cayman Islands,THCH,Non-accelerated filer,"December 31 , 2024"
TIGR,UP FINTECH HOLDING LIMITED,Singapore,Cayman Islands,TIGR,Large accelerated filer,"December 31 , 2024"
TIRX,TIAN RUIXIANG Holdings Ltd,China,Cayman Islands,TIRX,Non-accelerated filer,"October 31 , 2024"
TME,Tencent Music Entertainment Group,China,Cayman Islands,TME,Large accelerated filer,"December 31 , 2024"
TOUR,Tuniu Corp,China,Cayman Islands,TOUR,Non-accelerated filer,"December 31, 2024"
TUYA,Tuya Inc.,China,Cayman Islands,TUYA,Accelerated Filer,"December 31, 2024"
UBXG,U-BX Technology Ltd.,China,Cayman Islands,UBXG,Non-accelerated filer,"June 30 , 2024"
UCAR,U Power Limited,China,Cayman Islands,UCAR,Non-accelerated filer,"December 31 , 2024"
UCL,UCLOUDLINK GROUP INC.,Hong Kong,Cayman Islands,UCL,Non-Accelerated Filer,"December 31 , 2024"
UK,UCOMMUNE INTERNATIONAL LTD,China,Cayman Islands,UK,Non-accelerated filer,"December 31 , 2024"
UOKA,MDJM LTD,United Kingdom,Cayman Islands,UOKA,Non-accelerated filer,"December 31 , 2024"
UPC,Universe Pharmaceuticals INC,China,Cayman Islands,UPC,Non-accelerated filer,"September 30 , 2024"
UTSI,UTStarcom Holdings Corp.,China,Cayman Islands,UTSI,Non-accelerated filer,"December 31 , 2024"
UXIN,Uxin Limited,China,Cayman Islands,UXIN,Non-accelerated filer,"December 31 , 2024"
VIOT,"Viomi Technology Co., Ltd",China,Cayman Islands,VIOT,Non-accelerated filer,"December 31, 2023"
VNET,"VNET Group, Inc.",China,Cayman Islands,VNET,Accelerated filer,"December 31 , 2024"
WAFU,Wah Fu Education Group Ltd.,China,British Virgin Islands,WAFU,Non-accelerated filer,"March 31 , 2025"
WAI,TOP KINGWIN LTD,China,Cayman Islands,,Non-accelerated filer,"December 31 , 2024"
WB,WEIBO CORPORATION,China,Cayman Islands,WB,Large accelerated filer,"December 31 , 2024"
WDH,Waterdrop Inc.,China,Cayman Islands,WDH,Accelerated filer,"December 31, 2024"
WETH,,,,,,
WETO,,,,,,
WIMI,WiMi Hologram Cloud Inc.,China,Cayman Islands,WIMI,Non-accelerated filer,"December 31 , 2024"
WNW,Meiwu Technology Company Limited,China,British Virgin Islands,WNW,Non-accelerated filer,"December 31 , 2024"
WOK,WORK Medical Technology Group LTD,China,Cayman Islands,WOK,Non-accelerated filer,"September 30 , 2024"
WRD,WeRide Inc.,China,Cayman Islands,WRD,Non-accelerated filer,"December 31 , 2024"
WTO,UTime Limited,China,Cayman Islands,WTO,Non-accelerated filer,"March 31 , 2025"
WYHG,Wing Yip Food Holdings Group Limited,China,Hong Kong,WYHG,Non-accelerated filer,"December 31 , 2024"
XCH,XCHG Limited,Germany,Cayman Islands,XCH,Non-accelerated Filer,"December 31 , 2024"
XHG,XChange TEC.INC,China,Cayman Islands,XHG,Non-accelerated filer,"September 30 , 2024"
XIN,"XINYUAN REAL ESTATE CO., LTD.",China,Cayman Islands,XIN,Non-accelerated filer,"December 31 , 2024"
XNET,Xunlei Ltd,China,Cayman Islands,XNET,Non-accelerated filer,"December 31, 2024"
XPEV,XPeng Inc.,China,Cayman Islands,XPEV,Large accelerated filer,"December 31 , 2024"
XTKG,"X3 HOLDINGS CO., LTD.",Singapore,Cayman Islands,XTKG,Non-accelerated filer,"December 31 , 2024"
XYF,X Financial,China,Cayman Islands,XYF,Accelerated filer,"December 31 , 2024"
YAAS,Youxin Technology Ltd,China,Cayman Islands,YAAS,Non-accelerated filer,"September 30 , 2024"
YALA,YALLA GROUP LIMITED,United Arab Emirates,Cayman Islands,YALA,Accelerated filer,"December 31 , 2024"
YGMZ,MingZhu Logistics Holdings Limited,China,Cayman Islands,YGMZ,Non-accelerated filer,"December 31 , 2024"
YIBO,Planet Image International Limited,China,Cayman Islands,YIBO,Non-accelerated filer,"December 31 , 2024"
YJ,Yunji Inc.,China,Cayman Islands,YJ,Non-accelerated filer,"December 31 , 2024"
YMM,Full Truck Alliance Co. Ltd.,China,Hong Kong,YMM,Large accelerated filer,"December 31 , 2024"
YQ,17 Education & Technology Group Inc.,China,Cayman Islands,YQ,Non-Accelerated Filer,"December 31 , 2024"
YRD,Yiren Digital Ltd.,China,Cayman Islands,YRD,Non-accelerated filer,"December 31 , 2024"
YSG,Yatsen Holding Limited,China,Cayman Islands,YSG,Accelerated filer,"December 31 , 2024"
YSXT,"YSX Tech Co., Ltd",China,Cayman Islands,YSXT,Non-accelerated filer,"March 31, 2025"
YUMC,,,,,,
YXT,YXT.COM GROUP HOLDING LIMITED,China,Cayman Islands,YXT,Non-accelerated filer,"December 31 , 2024"
ZBAO,ZHIBAO TECHNOLOGY INC.,China,Cayman Islands,ZBAO,Non-accelerated filer,"June 30 , 2024"
ZCMD,ZHONGCHAO INC.,China,Cayman Islands,,Non-accelerated filer,"December 31 , 2024"
ZEPP,ZEPP HEALTH CORP,Netherlands,Cayman Islands,ZEPP,Non-accelerated filer,"December 31 , 2024"
ZH,Zhihu Inc.,China,Cayman Islands,ZH,Accelerated Filer,"December 31 , 2024"
ZJK,"ZJK Industrial Co., Ltd.",China,Cayman Islands,ZJK,Non-accelerated filer,"December 31 , 2024"
ZJYL,Jin Medical International Ltd.,China,Cayman Islands,ZJYL,Non-accelerated filer,"September 30 , 2024"
ZK,ZEEKR Intelligent Technology Holding Limited,China,Cayman Islands,ZK,Non-accelerated filer,"December 31 , 2024"
ZKH,ZKH Group Limited,China,Cayman Islands,ZKH,Accelerated filer,"December 31 , 2024"
ZLAB,ZAI LAB LIMITED,China,Cayman Islands,ZLAB,Large Accelerated Filer,"December 31, 2019"
ZTO,ZTO Express (Cayman) Inc.,China,Cayman Islands,ZTO,Large Accelerated Filer,"December 31 , 2024"
ZYBT,Zhengye Biotechnology Holding Limited,China,Cayman Islands,ZYBT,Non-accelerated filer,"December 31 , 2024"
